Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
1,1,3.004,0.751,4.172,1,27,28,26,27,0,1,27.500,26.500,0.500,27.500,26.500,0.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,27,26,0,1.000
2,6292,3484.046,24.692,0.106,-3,17,38,29,58,17,60,27.262,44.091,40.439,27.262,44.091,40.439,23.668,14.586,6.193,63.476,85.096,34.821,1.623,3.822,2.355,30,37,39,4.333
3,2,5.642,1.214,2.519,1,24,25,45,46,17,19,24.500,45.500,18.000,24.500,45.500,18.000,1.291,0.645,0.645,0.000,-90.000,90.000,2.000,2.000,1.000,24,45,17,1.000
4,4543,1861.327,-16.534,0.362,3,114,128,98,122,19,47,122.828,110.333,34.204,122.828,110.333,34.204,14.382,11.689,7.448,-82.643,73.273,-87.144,1.230,1.931,1.569,127,103,37,5.333
5,17216,10787.182,-410.896,0.027,-198,26,83,97,128,19,51,52.481,114.873,33.938,52.481,114.873,33.938,32.827,14.770,13.606,17.255,1.573,95.611,2.223,2.413,1.086,40,108,24,4.000
6,8484,3280.752,-104.761,0.231,45,43,68,67,92,20,51,55.990,79.291,34.741,55.990,79.291,34.741,16.732,12.271,10.908,-47.644,59.649,175.013,1.364,1.534,1.125,59,72,25,4.333
7,9041,4839.770,-172.323,0.082,-39,73,103,89,114,20,49,87.000,101.225,31.802,87.000,101.225,31.802,15.700,13.472,13.154,9.547,6.502,-60.782,1.165,1.193,1.024,82,108,26,4.000
8,16183,15695.838,-211.601,0.008,-405,63,127,0,37,21,54,91.914,19.226,36.608,91.914,19.226,36.608,37.362,16.941,13.895,22.653,4.012,-52.986,2.205,2.689,1.219,90,21,25,3.333
9,4914,5458.605,-77.163,0.017,-214,28,55,7,27,21,52,40.323,17.000,34.606,40.323,17.000,34.606,15.862,13.734,9.891,-17.035,34.551,-91.243,1.155,1.604,1.389,42,18,27,2.667
10,4825,5657.752,-1.158,0.015,-143,44,69,24,50,21,49,56.929,37.347,33.242,56.929,37.347,33.242,16.292,14.172,10.418,47.819,24.057,82.094,1.150,1.564,1.360,62,43,24,2.667
11,1,3.004,0.751,4.172,1,50,51,41,42,21,22,50.500,41.500,21.500,50.500,41.500,21.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,50,41,21,1.000
12,8449,6154.535,-201.007,0.035,-148,110,128,39,87,21,49,121.229,66.627,35.371,121.229,66.627,35.371,26.176,14.128,9.348,-81.125,2.000,93.242,1.853,2.800,1.511,127,74,29,3.667
13,6818,4822.037,-196.731,0.047,-110,69,93,37,61,21,53,80.780,49.168,34.806,80.780,49.168,34.806,15.215,12.285,11.803,-66.714,82.221,-114.642,1.238,1.289,1.041,79,44,26,3.667
14,9182,4539.577,-171.095,0.102,-5,5,38,60,79,21,55,21.527,69.352,36.815,21.527,69.352,36.815,19.069,16.208,8.738,8.723,-44.525,71.240,1.177,2.182,1.855,22,65,25,3.667
15,8070,5612.921,-226.296,0.042,-123,80,109,58,84,21,51,95.020,71.693,34.677,95.020,71.693,34.677,15.618,13.270,12.815,-25.003,-0.693,87.442,1.177,1.219,1.035,98,73,33,4.000
16,1,3.004,0.751,4.172,1,97,98,76,77,21,22,97.500,76.500,21.500,97.500,76.500,21.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,97,76,21,1.000
17,5710,5439.056,-92.150,0.023,-153,14,38,79,105,21,50,25.606,91.630,34.154,25.606,91.630,34.154,14.894,13.570,11.667,-77.792,71.442,109.326,1.098,1.277,1.163,21,93,31,2.667
18,1690,2177.372,49.707,0.031,-14,92,119,117,128,21,44,102.917,123.060,31.157,102.917,123.060,31.157,12.769,11.977,6.224,-4.438,26.709,-84.141,1.066,2.052,1.924,100,127,25,2.667
19,4070,5491.982,71.182,0.011,-109,0,24,0,23,22,52,12.665,9.480,35.709,12.665,9.480,35.709,16.235,14.484,10.083,-42.903,68.088,-168.368,1.121,1.610,1.437,8,1,31,2.667
20,1,3.004,0.751,4.172,1,39,40,13,14,22,23,39.500,13.500,22.500,39.500,13.500,22.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,39,13,22,1.000
21,1,3.004,0.751,4.172,1,116,117,110,111,23,24,116.500,110.500,23.500,116.500,110.500,23.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,116,110,23,1.000
22,529,919.111,48.563,0.041,0,31,52,0,5,24,47,40.485,1.954,35.888,40.485,1.954,35.888,11.744,9.582,2.734,6.584,-61.496,85.259,1.226,4.295,3.504,37,0,26,1.667
23,272,544.299,46.815,0.052,20,0,5,82,101,24,41,1.724,93.147,32.551,1.724,93.147,32.551,11.072,7.959,2.597,85.602,6.115,-87.859,1.391,4.264,3.065,0,97,35,1.667
24,1,3.004,0.751,4.172,1,0,1,90,91,25,26,0.500,90.500,25.500,0.500,90.500,25.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,0,90,25,1.000
25,54,127.168,15.485,0.160,5,22,31,126,128,25,37,26.037,127.370,30.259,26.037,127.370,30.259,6.488,4.904,0.987,-18.805,-88.147,-109.233,1.323,6.571,4.967,25,127,25,1.333
26,71,132.150,11.001,0.247,3,124,128,0,2,26,43,126.331,0.838,34.317,126.331,0.838,34.317,9.040,2.440,1.159,5.933,89.669,-95.815,3.705,7.797,2.105,127,0,31,2.000
27,1,3.004,0.751,4.172,1,1,2,24,25,26,27,1.500,24.500,26.500,1.500,24.500,26.500,0.645,0.645,0.645,0.000,0.000,0.000,1.000,1.000,1.000,1,24,26,1.000
